Date,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status
18/02/2000,44,V ugm-3,40,V ugm-3,107,V ugm-3
19/02/2000,48,V ugm-3,41,V ugm-3,115,V ugm-3
20/02/2000,45,V ugm-3,50,V ugm-3,118,V ugm-3
21/02/2000,71,V ugm-3,59,V ugm-3,168,V ugm-3
22/02/2000,99,V ugm-3,62,V ugm-3,214,V ugm-3
23/02/2000,58,V ugm-3,45,V ugm-3,134,V ugm-3
24/02/2000,72,V ugm-3,51,V ugm-3,161,V ugm-3
25/02/2000,80,V ugm-3,50,V ugm-3,172,V ugm-3
26/02/2000,61,V ugm-3,54,V ugm-3,147,V ugm-3
27/02/2000,12,V ugm-3,16,V ugm-3,34,V ugm-3
28/02/2000,36,V ugm-3,38,V ugm-3,93,V ugm-3
29/02/2000,38,V ugm-3,37,V ugm-3,95,V ugm-3
01/03/2000,49,V ugm-3,45,V ugm-3,119,V ugm-3
02/03/2000,25,V ugm-3,36,V ugm-3,74,V ugm-3
03/03/2000,44,V ugm-3,50,V ugm-3,116,V ugm-3
04/03/2000,56,V ugm-3,50,V ugm-3,135,V ugm-3
05/03/2000,27,V ugm-3,36,V ugm-3,76,V ugm-3
06/03/2000,34,V ugm-3,38,V ugm-3,89,V ugm-3
07/03/2000,30,V ugm-3,32,V ugm-3,78,V ugm-3
08/03/2000,28,V ugm-3,31,V ugm-3,74,V ugm-3
09/03/2000,40,V ugm-3,44,V ugm-3,105,V ugm-3
10/03/2000,60,V ugm-3,44,V ugm-3,136,V ugm-3
11/03/2000,43,V ugm-3,43,V ugm-3,109,V ugm-3
12/03/2000,28,V ugm-3,44,V ugm-3,86,V ugm-3
13/03/2000,67,V ugm-3,48,V ugm-3,149,V ugm-3
14/03/2000,36,V ugm-3,47,V ugm-3,101,V ugm-3
15/03/2000,45,V ugm-3,45,V ugm-3,113,V ugm-3
16/03/2000,72,V ugm-3,56,V ugm-3,165,V ugm-3
17/03/2000,83,V ugm-3,56,V ugm-3,183,V ugm-3
18/03/2000,12,V ugm-3,35,V ugm-3,54,V ugm-3
19/03/2000,30,V ugm-3,40,V ugm-3,85,V ugm-3
20/03/2000,65,V ugm-3,50,V ugm-3,149,V ugm-3
21/03/2000,48,V ugm-3,53,V ugm-3,126,V ugm-3
22/03/2000,78,V ugm-3,63,V ugm-3,183,V ugm-3
23/03/2000,35,V ugm-3,67,V ugm-3,119,V ugm-3
24/03/2000,69,V ugm-3,69,V ugm-3,174,V ugm-3
25/03/2000,60,V ugm-3,60,V ugm-3,152,V ugm-3
26/03/2000,18,V ugm-3,39,V ugm-3,66,V ugm-3
27/03/2000,10,V ugm-3,34,V ugm-3,48,V ugm-3
28/03/2000,10,V ugm-3,28,V ugm-3,43,V ugm-3
29/03/2000,9,V ugm-3,33,V ugm-3,46,V ugm-3
30/03/2000,11,V ugm-3,51,V ugm-3,67,V ugm-3
31/03/2000,41,V ugm-3,84,V ugm-3,146,V ugm-3
01/04/2000,31,V ugm-3,90,V ugm-3,137,V ugm-3
02/04/2000,10,V ugm-3,86,V ugm-3,101,V ugm-3
03/04/2000,11,V ugm-3,81,V ugm-3,98,V ugm-3
04/04/2000,1,V ugm-3,60,V ugm-3,61,V ugm-3
05/04/2000,4,V ugm-3,65,V ugm-3,70,V ugm-3
06/04/2000,16,V ugm-3,82,V ugm-3,106,V ugm-3
07/04/2000,34,V ugm-3,96,V ugm-3,148,V ugm-3
08/04/2000,19,V ugm-3,91,V ugm-3,120,V ugm-3
09/04/2000,1,V ugm-3,59,V ugm-3,61,V ugm-3
10/04/2000,4,V ugm-3,71,V ugm-3,77,V ugm-3
11/04/2000,21,V ugm-3,96,V ugm-3,128,V ugm-3
12/04/2000,43,V ugm-3,87,V ugm-3,153,V ugm-3
13/04/2000,44,V ugm-3,82,V ugm-3,149,V ugm-3
14/04/2000,19,V ugm-3,48,V ugm-3,78,V ugm-3
15/04/2000,15,V ugm-3,41,V ugm-3,66,V ugm-3
16/04/2000,11,V ugm-3,37,V ugm-3,54,V ugm-3
17/04/2000,19,V ugm-3,39,V ugm-3,68,V ugm-3
18/04/2000,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
19/04/2000,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
20/04/2000,24,V ugm-3,41,V ugm-3,78,V ugm-3
21/04/2000,17,V ugm-3,35,V ugm-3,60,V ugm-3
22/04/2000,44,V ugm-3,51,V ugm-3,118,V ugm-3
23/04/2000,18,V ugm-3,40,V ugm-3,67,V ugm-3
24/04/2000,14,V ugm-3,33,V ugm-3,54,V ugm-3
25/04/2000,29,V ugm-3,39,V ugm-3,83,V ugm-3
26/04/2000,50,V ugm-3,50,V ugm-3,126,V ugm-3
27/04/2000,40,V ugm-3,42,V ugm-3,104,V ugm-3
28/04/2000,19,V ugm-3,33,V ugm-3,62,V ugm-3
29/04/2000,52,V ugm-3,46,V ugm-3,125,V ugm-3
30/04/2000,23,V ugm-3,36,V ugm-3,71,V ugm-3
01/05/2000,4,V ugm-3,16,V ugm-3,23,V ugm-3
02/05/2000,12,V ugm-3,24,V ugm-3,42,V ugm-3
03/05/2000,11,V ugm-3,24,V ugm-3,41,V ugm-3
04/05/2000,12,V ugm-3,23,V ugm-3,41,V ugm-3
05/05/2000,11,V ugm-3,24,V ugm-3,41,V ugm-3
06/05/2000,10,V ugm-3,31,V ugm-3,47,V ugm-3
07/05/2000,8,V ugm-3,20,V ugm-3,32,V ugm-3
08/05/2000,39,V ugm-3,39,V ugm-3,98,V ugm-3
09/05/2000,23,V ugm-3,31,V ugm-3,66,V ugm-3
10/05/2000,10,V ugm-3,27,V ugm-3,42,V ugm-3
11/05/2000,8,V ugm-3,20,V ugm-3,33,V ugm-3
12/05/2000,44,V ugm-3,40,V ugm-3,108,V ugm-3
13/05/2000,24,V ugm-3,40,V ugm-3,78,V ugm-3
14/05/2000,14,V ugm-3,35,V ugm-3,55,V ugm-3
15/05/2000,22,V ugm-3,48,V ugm-3,83,V ugm-3
16/05/2000,15,V ugm-3,44,V ugm-3,67,V ugm-3
17/05/2000,9,V ugm-3,29,V ugm-3,42,V ugm-3
18/05/2000,17,V ugm-3,38,V ugm-3,63,V ugm-3
19/05/2000,18,V ugm-3,44,V ugm-3,71,V ugm-3
20/05/2000,19,V ugm-3,51,V ugm-3,80,V ugm-3
21/05/2000,9,V ugm-3,42,V ugm-3,55,V ugm-3
22/05/2000,20,V ugm-3,57,V ugm-3,90,V ugm-3
23/05/2000,10,V ugm-3,43,V ugm-3,58,V ugm-3
24/05/2000,20,V ugm-3,62,V ugm-3,92,V ugm-3
25/05/2000,25,V ugm-3,46,V ugm-3,83,V ugm-3
26/05/2000,36,V ugm-3,40,V ugm-3,95,V ugm-3
27/05/2000,30,V ugm-3,28,V ugm-3,75,V ugm-3
28/05/2000,19,V ugm-3,25,V ugm-3,54,V ugm-3
29/05/2000,21,V ugm-3,26,V ugm-3,57,V ugm-3
30/05/2000,56,V ugm-3,46,V ugm-3,131,V ugm-3
31/05/2000,61,V ugm-3,49,V ugm-3,143,V ugm-3
01/06/2000,45,V ugm-3,25,V ugm-3,93,V ugm-3
02/06/2000,66,V ugm-3,33,V ugm-3,134,V ugm-3
